Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean
Inovasi Solusi Internasional,Junior Programmer,Other,Jakarta Pusat,,"['css', 'git', 'html', 'javascript']",Tidak Disebutkan,full time
PT Blue Ocean Heart,Assistant Manager (Mandarin Speaker),Other,Surabaya,8000000.0,['excel'],S1,kontrak/temporer
PT. Solusi Jasa Teknologi,IT Service Desk,Support / Helpdesk / IT Ops,Bogor,,"['excel', 'networking', 'tcp/ip']",S1,full time
PT Trinusa Travelindo,Software Backend Engineer,Backend Engineer,Jakarta Raya,,"['go', 'java', 'python']",S1,full time
ZAP Clinic (PT. Zulu Alpha Papa),Project Assistant,Other,Jakarta Raya,,"['go', 'oracle']",S1,kontrak/temporer
PT Ciptakom Media Nusa,Laravel Fullstack Developer,Backend Engineer,Jakarta Barat,7500000.0,"['css', 'git', 'html', 'javascript', 'laravel', 'php', 'sql']",Diploma,full time
PT TEKNOLOGI ANGKASA MAKMUR ABADI,IT Support Network,Network / Infra / SysAdmin,Jakarta Raya,6750000.0,['linux'],Tidak Disebutkan,full time
PT Artha Solutions Indonesia,Tier 2 Support Engineer (Korean Speaker),Support / Helpdesk / IT Ops,Jakarta Raya,,"['cybersecurity', 'linux']",Tidak Disebutkan,full time
PT Sinergi Wahana Gemilang,Sales IT,Sales / Presales / Solution,Jakarta Raya,,[],Tidak Disebutkan,full time
PT. Wide Technologies Indonesia,Senior System Engineer (Banking Background),Other,Jakarta Selatan,,"['aws', 'azure', 'linux', 'networking']",S1,full time
Pengiklan Anonim,FULLSTACK DEVELOPER (PHP|LARAVEL),Backend Engineer,Kabupaten Malang,,"['agile', 'aws', 'git', 'javascript', 'laravel', 'mysql', 'php', 'react', 'scrum', 'ui/ux', 'vue']",Tidak Disebutkan,full time
PT Mandjur Sehat Abadi,JUNIOR IT SUPPORT,Support / Helpdesk / IT Ops,Jakarta Pusat,,['linux'],S1,full time
Next TI,AI Solution Engineer,Data / AI,Jakarta Selatan,,"['aws', 'java', 'node.js', 'python']",Tidak Disebutkan,full time
PT Revo Solusindo,AI Applied Engineer  — Backend & GenAI Systems,Backend Engineer,Jakarta Raya,,"['docker', 'mongodb', 'python', 'react', 'redis']",S1,kontrak/temporer
PT Sahassa Panca Manunggal,IT Sales Executive,Sales / Presales / Solution,Jakarta Selatan,,[],Tidak Disebutkan,full time
PT Media Wave Interaktif,Quality Assurance,QA / Tester,Jakarta Selatan,,[],Tidak Disebutkan,kontrak/temporer
PT Nusantara Secom InfoTech,Sales & Marketing Staff - Hardware Network Solution & Maintenance Division,Network / Infra / SysAdmin,Jakarta Selatan,,[],S1,full time
Cyber Xpert Nusantara,Technical Assessor - Cybersecurity & Digital Forensic Specialist,Security / Cybersecurity,Jakarta Barat,17000000.0,"['cybersecurity', 'penetration testing']",S1,full time
PT Lucky Indah Keramik,IT MANAGER,Other,Jakarta Pusat,,['sql'],S1,kasual
"PT. Zyrexindo Mandiri Buana, Tbk",IT Support/Network Support,Network / Infra / SysAdmin,Jakarta Barat,,"['linux', 'tcp/ip']",Diploma,full time
PT. Pedia Food Indonesia,Sales Marketing IT B2B,Sales / Presales / Solution,Bekasi Selatan,3000000.0,[],Tidak Disebutkan,full time
PT Bumi Bandara Indah,IT Support dan Admin Officer,Support / Helpdesk / IT Ops,Jakarta Raya,,"['linux', 'tcp/ip']",Tidak Disebutkan,full time
PT Perangkat Lunak Indonesia,Junior Business Analyst,Business / System Analyst,Jakarta Pusat,6250000.0,[],Tidak Disebutkan,full time
Halo Robotics,Product Manager - Surveillance AI Systems,Data / AI,Jakarta Selatan,15000000.0,"['go', 'networking']",S1,full time
PT ZTE Indonesia,5G Technical Director,Other,Jakarta Raya,,['c'],S1,full time
PT Azurr Kilau Abadi,Data & Business Analyst (Entry Level),Data / AI,Jakarta Selatan,7000000.0,['excel'],S1,kontrak/temporer
PT Graha Sumber Prima Elektronik,Junior Mechatronics Engineer (IoT & Robotics Support),Support / Helpdesk / IT Ops,Jakarta Raya,,"['arduino', 'c', 'c++', 'iot', 'python', 'raspberry pi']",S1,full time
PT Mitra Solusi Infokom,Presales Network,Network / Infra / SysAdmin,Jakarta Barat,,[],S1,full time
PT Gajah Agung Mandiri,Senior Front End Developer - Experienced,Frontend Engineer,Jakarta Pusat,11000000.0,"['android', 'css', 'git', 'html', 'ios', 'java', 'kotlin', 'react', 'react native', 'swift']",S1,full time
PT. Nashta Global Utama,Project Manager,Product / Project / Scrum,Jakarta Raya,8000000.0,[],S1,full time
PT Asuransi Multi Artha Guna Tbk,AMAG Graduated Program (Management Trainee),Other,Jakarta Raya,,['agile'],Tidak Disebutkan,full time
PT Energi Kreasi Bersama,DevOps Engineer,DevOps / Cloud / SRE,Jakarta Selatan,,"['aws', 'azure', 'docker', 'go', 'google cloud', 'iot', 'kubernetes', 'networking', 'python', 'terraform']",S1,full time
PT. Lintas Teknologi Indonesia,Network   Security Engineer (L2)  for SOC Project,Security / Cybersecurity,Jakarta Raya,,"['networking', 'tcp/ip']",Tidak Disebutkan,full time
PT Vita Shopindo,Full Stack Developer,Fullstack Engineer,Jakarta Barat,,"['laravel', 'linux', 'mysql', 'php', 'vue']",Tidak Disebutkan,full time
IDS Medical Systems Group,Senior Specialist - Application Support (D365),Support / Helpdesk / IT Ops,Jakarta Raya,,"['android', 'ios', 'power bi', 'sql']",Tidak Disebutkan,full time
PT Karisma Zona Kreatifku,Automation Engineer (Fullstack .NET ),Fullstack Engineer,Jakarta Selatan,13500000.0,"['.net', 'javascript', 'sql']",Tidak Disebutkan,kontrak/temporer
PT Indomobil Finance Indonesia,IT Security Analyst,Security / Cybersecurity,Jakarta Raya,,['tcp/ip'],S1,full time
PT COBAS PERKAKAS JAYA,Product Specialist IT,Other,Jakarta Barat,,['networking'],Diploma,full time
PT Mitrais,Senior Golang Developers,Backend Engineer,Jakarta Raya(Hibrid),,"['agile', 'aws', 'docker', 'go', 'golang', 'jenkins', 'mysql', 'php', 'redis']",Tidak Disebutkan,full time
PT JAC Consulting Indonesia,IT Staff/Help Desk,Support / Helpdesk / IT Ops,Jakarta Raya,8500000.0,[],S1,kontrak/temporer
PT Bahari Eka Nusantara (Ben Line Agencies),"IT Architect, Cloud & Networking Manager",DevOps / Cloud / SRE,Jakarta Raya(Hibrid),,"['azure', 'networking', 'terraform']",S1,full time
PT Trinusa Travelindo,Backend Infrastructure Engineer,Backend Engineer,Jakarta Raya,,[],Tidak Disebutkan,full time
PT. INTISUMBER BAJASAKTI,IT Functional,Other,Jakarta Utara,10000000.0,"['excel', 'machine learning', 'sql']",S1,full time
PT Phincon,.Net Developer,Other,Jakarta Raya,8000000.0,"['.net', 'angular', 'sql']",S1,kontrak/temporer
PT CreateIT Solution Indonesia,Senior AWS DevOps Engineer,DevOps / Cloud / SRE,Tangerang,,"['aws', 'azure', 'typescript']",Tidak Disebutkan,kontrak/temporer
Orang Tua Group,Sales Data Analyst,Data / AI,Jakarta Raya,,['sql'],S1,full time
PT Cipta Pernika Nusantara,IT Help Desk,Other,Jakarta Selatan,6000000.0,[],Tidak Disebutkan,full time
Google,"AI Sales Specialist, Google Cloud",Data / AI,Jakarta Raya,,"['go', 'google cloud']",S1,full time
ATech Solution,Senior Software Engineer / Tech Lead - Backend Java or Fullstack - Full Remote,Backend Engineer,Jakarta Raya(Jarak jauh),,"['.net', 'aws', 'java', 'mysql', 'react', 'react native', 'spring boot']",S1,full time
PT Harapan Sukses Jaya (HSJ),IT System Admin,Other,Jakarta Barat,5000000.0,"['aws', 'azure', 'docker', 'kubernetes', 'linux', 'python']",S1,full time
