Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean
PT Sinergi Daya Mitra,Project Admin,Other,Jakarta Barat,,[],S1,kontrak/temporer
PT. Pintar Inovasi Digital,MIS Analyst,Business / System Analyst,Jakarta Selatan,,['big data'],S1,full time
PT ALLNETWORK DIGITAL INDONESIA,Network Operation Center,Network / Infra / SysAdmin,Tangerang,6500000.0,[],S1,full time
PT. Elabram Systems,IT infrastructure,Network / Infra / SysAdmin,Jakarta Raya,6250000.0,[],S1,kontrak/temporer
PT. NCS CONSULTANT INDONESIA,System Support Engineer,Support / Helpdesk / IT Ops,Jakarta Selatan,,"['docker', 'kubernetes', 'linux', 'mysql', 'networking', 'redis']",S1,full time
PT Nutrifood Indonesia,IT Engineering & Networking,Network / Infra / SysAdmin,Jakarta Raya,,['networking'],Tidak Disebutkan,full time
PT. Anugerah Total Solusi,Staf IT - TECHNICAL SUPPORT,Support / Helpdesk / IT Ops,Surabaya,,"['linux', 'tcp/ip']",Tidak Disebutkan,kontrak/temporer
Staffinc,IT Programmer di Jakarta Selatan,Other,Jakarta Selatan,6850000.0,[],Tidak Disebutkan,full time
PT Esensi Solusi Buana,Careline Support (Freelance),Support / Helpdesk / IT Ops,Semarang,,['linux'],Tidak Disebutkan,kontrak/temporer
PT Link Net,HR Data Analytic Intern,Data / AI,Tangerang District,,"['excel', 'power bi', 'sql', 'tableau']",Tidak Disebutkan,full time
PT Orientraco Perkasa,FINANCE,Other,Tangerang District,,[],S1,kontrak/temporer
PT Binajasa Sumber Sarana (BSS Recruitment),IT System Analyst (Telecommunication),Business / System Analyst,Jakarta Selatan,6500000.0,[],S1,full time
PT Inovasi Anak Indonesia (Parkee),Technical Support,Support / Helpdesk / IT Ops,Jakarta Pusat,,"['linux', 'sql']",Tidak Disebutkan,kontrak/temporer
Path Finder Investment,Project Coordinator,Other,Jakarta Barat,,[],Diploma,full time
PT Pesta Pora Abadi,DATA ANALYST ADMIN,Data / AI,Malang,,['excel'],Diploma,kontrak/temporer
PT Nutrifood Indonesia,IT Database Management,Data / AI,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Warna Mardhika,IT TECHNICAL SUPPORT,Support / Helpdesk / IT Ops,Jakarta Barat,,['sql'],S1,full time
PT STANLI TRIJAYA MANDIRI,Helpdesk & IT Support,Support / Helpdesk / IT Ops,Bandung,,['networking'],Diploma,full time
PT DWIMITRA SUKSES PERKASA,IT Support,Support / Helpdesk / IT Ops,Jakarta Utara,,[],Tidak Disebutkan,full time
PT MCDelica Food Indonesia,Data Analis Senior Staff,Data / AI,Serang,,"['excel', 'sql']",S1,full time
PT GITS Indonesia,IT Application Support L2 (Project Based),Support / Helpdesk / IT Ops,Jakarta Pusat,,"['.net', 'java', 'linux', 'mysql', 'oracle', 'php', 'sql']",Tidak Disebutkan,kontrak/temporer
PT EKOSISTEM KESEHATAN INDONESIA,System Analyst,Business / System Analyst,Jakarta Pusat,,"['go', 'jira', 'scrum']",S1,kontrak/temporer
PT Horizon Internusa Persada,QA Engineer (Intern),QA / Tester,Jakarta Selatan,,"['agile', 'scrum']",Tidak Disebutkan,kontrak/temporer
PT. TEMAS TBK,Project Management Officer,Other,Jakarta Utara,,[],S1,full time
PT. Wahana Lestari Makmur Perkasa,Staff IT,Other,Surabaya,,['c'],Tidak Disebutkan,kontrak/temporer
PT. Gosyen Solusi Indonesia,Product Specialist,Other,Semarang Tengah,4250000.0,[],Tidak Disebutkan,kontrak/temporer
PT Binajasa Sumber Sarana (BSS Recruitment),Service Assurance (Telecommunication),Other,Jakarta Selatan,5650000.0,[],S1,full time
PT Kb Valbury Sekuritas,IT Development Staff,Other,Jakarta Pusat,,"['git', 'java', 'mysql', 'oracle', 'sql']",S1,full time
Proworker,Project Engineer,Other,Jakarta Utara,9000000.0,['networking'],S1,kontrak/temporer
PT Sapta Tunas Teknologi,Server Storage Engineer,Network / Infra / SysAdmin,Jakarta Pusat,,"['networking', 'tcp/ip']",S1,full time
ASSA Rent (Jakarta),Data Analyst,Data / AI,Jakarta Utara,,['excel'],S1,full time
PT. Topla Fondamen Sukses,Leader E-Commerce,Other,Tangerang,6000000.0,['excel'],Tidak Disebutkan,full time
PT CITARASA PRIMA INDONESIA BERJAYA,IT Support Intern,Support / Helpdesk / IT Ops,Jakarta Selatan,1250000.0,[],Tidak Disebutkan,kontrak/temporer
PT Suparma Tbk,STAF IT (TRAINING PROGRAM) (SIT),Other,Surabaya,,[],Diploma,full time
"PT Delta Giri Wacana, Tbk.",IT Support,Support / Helpdesk / IT Ops,Jakarta Utara,,[],S1,full time
PT Noosc Security Global,SOC ANALYST 24/7,Security / Cybersecurity,Jakarta Pusat,6000000.0,[],Diploma,full time
PT Swadharma Duta Data,IT Business Analyst,Business / System Analyst,Jakarta Raya,8000000.0,"['excel', 'jira', 'sql']",S1,full time
PT Nusantarajaya Raya Mujur,Lowongan Kerja IT Operational Staff,Other,Surabaya,,"['postgresql', 'sql']",Diploma,full time
PT. JINDE GRUP INDONESIA,Staff NOC (Network Center Operation),Network / Infra / SysAdmin,Gresik,7000000.0,[],Diploma,full time
Teman Dental,Audit CCTV,Other,South Tangerang,,[],Tidak Disebutkan,full time
PT Profluid (Jakarta),IT  Junior PT Profluid,Frontend Engineer,Bekasi,,['excel'],Tidak Disebutkan,kontrak/temporer
HAVANNA FAMILY REFLEXOLOGY,Data Analyst,Data / AI,Surabaya,5750000.0,"['excel', 'java', 'power bi', 'sql', 'tableau']",S1,kontrak/temporer
PT. Berca Hardayaperkasa,IT Project Coordinator,Other,Jakarta Raya,,['networking'],Tidak Disebutkan,full time
PT Provis Garuda Services,IT Data,Data / AI,Jakarta Selatan,7000000.0,[],Diploma,kontrak/temporer
PT LGE Indonesia R&D Center,IT Admin,Other,Bekasi,7385400.0,[],S1,full time
"PT Adi Sarana Armada, Tbk",Data Analyst,Data / AI,Jakarta Utara,,['excel'],S1,full time
COLORLINK,ADMIN CCTV,Other,Bantul,,[],Tidak Disebutkan,full time
PT Sea Group,"Junior Engineer, Frontend",Frontend Engineer,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Khong Guan Biscuit,IT Application Support,Support / Helpdesk / IT Ops,Jakarta Selatan,,"['git', 'javascript', 'mysql', 'node.js', 'php', 'sql', 'ui/ux']",Diploma,full time
PT PEFINDO Biro Kredit,IT Support Intern,Support / Helpdesk / IT Ops,Jakarta Selatan,2750000.0,['networking'],Tidak Disebutkan,kontrak/temporer
PT Sinergi Daya Mitra,IT Operation Support,Support / Helpdesk / IT Ops,Jakarta Raya,,[],S1,kontrak/temporer
"PT Adi Sarana Armada, Tbk",Network Specialist & Cloud Engineer,DevOps / Cloud / SRE,Jakarta Raya,,"['networking', 'tcp/ip']",S1,full time
PT Duta Cemerlang Motors,Data Analyst,Data / AI,Jakarta Utara,6014938.0,"['power bi', 'python', 'sql', 'tableau']",S1,kontrak/temporer
PT Knitto Tekstil Indonesia,INFRASTRUCTURE AND TECHNICAL SUPPORT SUPERVISOR,Network / Infra / SysAdmin,Bandung,,"['linux', 'tcp/ip']",S1,full time
PT Indocyber Global Teknologi,Admin Sales,Sales / Presales / Solution,Jakarta Raya,,[],S1,full time
PT INTI NYA TEKNOLOGI,Supervisor IT,Other,Jakarta Utara,7000000.0,[],S1,full time
Bogor CCTV (Bogor),Technical Support,Support / Helpdesk / IT Ops,Jakarta Pusat,2750000.0,[],Tidak Disebutkan,full time
PT. EIKON Technology,Engineer Microsoft 365,Other,Surabaya,,"['agile', 'go']",S1,full time
PT Luxehouze Group Indonesia,Business Strategy Analyst,Business / System Analyst,Jakarta Raya,,"['excel', 'power bi', 'python', 'sql', 'tableau']",S1,full time
PT Binajasa Sumber Sarana (BSS Recruitment),Network Deployment (Telecommunication),Network / Infra / SysAdmin,Bandung,4750000.0,[],S1,full time
Cermati Fintech Group,IT Support Senior Staff,Support / Helpdesk / IT Ops,Jakarta Raya,,['linux'],S1,kontrak/temporer
Fenross Book Co,IT Support,Support / Helpdesk / IT Ops,Surabaya,,[],Tidak Disebutkan,full time
PT. Elabram Systems,IT System Analyst,Business / System Analyst,Jakarta Raya,7000000.0,[],S1,kontrak/temporer
PT. JARINGAN CYBER EVO,NOC ( NETWORK OPERATIONS CENTER ),Network / Infra / SysAdmin,Tangerang,3250000.0,['linux'],Tidak Disebutkan,full time
PT Agres Info Teknologi,IT PROGRAMER STAFF,Other,Jakarta Utara,11000000.0,"['golang', 'python', 'react', 'react native']",Tidak Disebutkan,full time
PT Sada Group International,IT Support & Administrator,Support / Helpdesk / IT Ops,Jakarta Pusat,,['linux'],Diploma,full time
Berita Satu,Master Control Room Officer,Other,Jakarta Raya,,[],S1,full time
Staffinc,IT Infrastructure & Support ― Kota Jakarta Selatan,Network / Infra / SysAdmin,Jakarta Selatan,5250000.0,['linux'],Diploma,full time
PT Mercindo Global Manufaktur,Staff IT,Other,Kabupaten Semarang,,"['linux', 'sql']",S1,full time
PT Rajawali Berdikari Indonesia,Product Operations,Other,Jakarta Raya,7750000.0,"['excel', 'sql']",Tidak Disebutkan,full time
HSBC,Staff Software Engineer,Other,Bandung,,"['agile', 'aws', 'c', 'go', 'java', 'kubernetes', 'machine learning', 'react', 'scrum', 'spring boot']",Tidak Disebutkan,full time
Berita Satu,IT Application Officer,Other,Jakarta Raya,,"['mysql', 'oracle', 'sql']",S1,full time
PT Kode Gama Teknologi,Junior Flutter Developer,Mobile Developer,Jakarta Selatan,7250000.0,"['android', 'flutter', 'ios']",Tidak Disebutkan,full time
PT Solusindo Bintang Pratama,Software Development,Other,Jakarta Raya,6250000.0,"['flutter', 'laravel', 'mysql', 'php']",Diploma,full time
PT Main Games Indonesia (Jakarta),Customer Service & Community Specialist,Other,Jakarta Selatan,,['jira'],Tidak Disebutkan,full time
PT Artha Infotama (Jakarta),Junior Infra Engineer,Network / Infra / SysAdmin,Jakarta Pusat,,"['azure', 'linux', 'postgresql', 'sql']",Diploma,full time
PT. Youzan International Indonesia,System Analyst,Business / System Analyst,Jakarta Barat,,"['agile', 'figma', 'ui/ux']",Tidak Disebutkan,full time
PT Rajawali Berdikari Indonesia,IT Staff Monitoring,Support / Helpdesk / IT Ops,Jakarta Raya,5730000.0,[],S1,full time
PT. ECO PAPER INDONESIA,STAFF IT,Other,Bandung,4500000.0,[],Diploma,kontrak/temporer
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Junior QA Automation,QA / Tester,Yogyakarta,4500000.0,"['java', 'javascript', 'python']",S1,kontrak/temporer
PT. Nusa Unggul Sarana Adicipta,IT Operational Staff,Other,Surabaya,,"['postgresql', 'sql']",Diploma,full time
PT Lintas Media Danawa,Lowongan Kerja L1 IT Support Infra & Apps,Network / Infra / SysAdmin,Depok,,"['c', 'docker', 'laravel', 'linux', 'mysql', 'php', 'postgresql', 'python', 'sql']",Tidak Disebutkan,kontrak/temporer
PT Intikom Berlian Mustika - Talent Acquisition,TANDEM Server Engineer,Network / Infra / SysAdmin,Jakarta Raya,,[],Tidak Disebutkan,kontrak/temporer
PT. BUSINESS ECLOUD INDONESIA INFORMATION TECHNOLOGY,IT Business Analyst,Business / System Analyst,Jakarta Pusat,11500000.0,"['agile', 'excel', 'figma', 'jira', 'sql']",S1,full time
"PT SMART,Tbk",New Technology & Digitalization Development Specialist,Other,Jakarta Pusat,,[],S1,full time
PT KONIMEX,System Analyst & Documentation Officer,Business / System Analyst,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Solusi Layar International,Maritime Software Designer,Other,Surabaya,,"['agile', 'android', 'css', 'javascript', 'python', 'react', 'react native', 'typescript']",S1,full time
PT ANGEL INVESTOR INDONESIA,Staff IT,Other,Surabaya,5750000.0,"['css', 'html', 'java', 'postgresql', 'spring boot']",S1,full time
PT Satya Energi Solusi,IT Support (GA),Support / Helpdesk / IT Ops,Tangerang,5500000.0,[],Diploma,kontrak/temporer
PT. INSPIRASI MAJU JAYA,Project Admin (Technical IT),Other,Jakarta Selatan,,['excel'],Diploma,full time
KDD Jaya,IT Support Maintenance Engineer,Support / Helpdesk / IT Ops,Surabaya,6000000.0,[],Tidak Disebutkan,full time
Cyber Sinergi Indonesia,IT Implementor Engineer,Other,Jakarta Selatan,,[],S1,full time
sahabat yatim indonesia,Staff Jaringan dan Relawan,Other,South Tangerang,,['excel'],Tidak Disebutkan,full time
PT Sinergi Daya Mitra,IT Asset Management,Other,Jakarta Raya,,[],Tidak Disebutkan,kontrak/temporer
PT Intikom Berlian Mustika - Talent Acquisition,Junior Business Analyst,Business / System Analyst,Jakarta Pusat,7000000.0,"['agile', 'scrum']",Diploma,kontrak/temporer
PT Caraka Komunika Indonesia,Project Admin (Technical IT),Other,Jakarta Selatan,,['excel'],Diploma,full time
PT Matahari Kahuripan Indonesia (Makin Group),Database Administration Officer,Data / AI,Jakarta Barat,,"['oracle', 'sql']",S1,full time
Staffinc,Implementor POS MOKA Tangerang,Other,Tangerang,4204550.0,[],Tidak Disebutkan,full time
PT JAVAN CIPTA SOLUSI,Product Owner,Product / Project / Scrum,Sleman,5000000.0,"['agile', 'jira', 'scrum']",Tidak Disebutkan,kontrak/temporer
PT Intikom Berlian Mustika - Talent Acquisition,Junior Business Analyst,Business / System Analyst,Surabaya,,"['agile', 'scrum']",Diploma,kontrak/temporer
Mediaforte distribusi indonesia,Intern IT Support,Support / Helpdesk / IT Ops,Jakarta Pusat,,[],Tidak Disebutkan,full time
PT Solusindo Bintang Pratama,System Operation Center,Other,Jakarta Raya,5750000.0,"['linux', 'tcp/ip']",Diploma,full time
PT Maha Kimia Indonesia,Business Technology and Innovation Internship,Other,Jakarta Raya(Jarak jauh),,[],Tidak Disebutkan,full time
PT Estetika Prima Duti Utama,IT Staff,Support / Helpdesk / IT Ops,Jakarta Selatan,,"['c', 'networking']",Diploma,full time
PT Arupa Cloud Nusantara,Junior Tech Support,Support / Helpdesk / IT Ops,Jakarta Selatan,,"['excel', 'linux', 'networking']",Tidak Disebutkan,full time
PT CORRA SISTEM INTERGRASI,Engineer On Site (EOS),Other,Jakarta Raya,,['iot'],Tidak Disebutkan,full time
PT Intrias Mandiri Sejati,IT Staff,Support / Helpdesk / IT Ops,Tangerang,5850000.0,[],Diploma,kontrak/temporer
Collaborative Excellence Indonesia,AI Solution Engineer,Data / AI,Surabaya,,"['aws', 'azure', 'docker', 'nlp', 'power bi', 'python', 'pytorch', 'tensorflow']",Tidak Disebutkan,full time
PT MEDELA POTENTIA Tbk,Technical Support Staff,Support / Helpdesk / IT Ops,Tangerang,,[],S1,full time
PT Biznet Gio Nusantara,AI Robotic Engineer,Data / AI,Jakarta Raya,,"['docker', 'git', 'jenkins', 'kubernetes', 'machine learning', 'python', 'tensorflow']",S1,full time
PT. JARINGAN CYBER EVO,Kepala teknisi,Other,Tangerang,4250000.0,[],Tidak Disebutkan,full time
PT Sandimas Intimitra (Sandei),IT Programmer,Other,Bekasi,,"['cybersecurity', 'javascript', 'laravel', 'mysql', 'php', 'postgresql']",S1,full time
PT Sinar Jernih Suksesindo,Odoo Support,ERP / SAP / Odoo / Dynamics,Jakarta Raya,5600000.0,['excel'],S1,kontrak/temporer
PT. Berca Hardayaperkasa,IT Support (Freelance),Support / Helpdesk / IT Ops,Jakarta Raya,,[],S1,paruh waktu
PT Network Data Sistem,Network Engineer Onsite,Network / Infra / SysAdmin,Yogyakarta,4250000.0,['networking'],Diploma,full time
PT. Ehan Solusi Teknik,Network Support Engineer,Network / Infra / SysAdmin,Tangerang,,[],Tidak Disebutkan,kontrak/temporer
VIA.com,Project Management Officer,Other,Jakarta Pusat,,[],S1,full time
PT Hipernet Indodata,Project Manager (IT),Product / Project / Scrum,Jakarta Raya,,['c'],S1,kontrak/temporer
PT PFI Mega Life Insurance,IT Application Specialist,Other,Jakarta Selatan,,"['angular', 'java']",S1,kontrak/temporer
PT AJAIB TTX Solusi (jakarta),Data Analyst,Data / AI,Jakarta Raya,,"['git', 'power bi', 'sql', 'tableau']",S1,full time
PT JAVAN CIPTA SOLUSI,System Analyst,Business / System Analyst,Sleman,5000000.0,['figma'],S1,kontrak/temporer
PT Luxehouze Group Indonesia,Quality Control Admin,Other,Jakarta Raya,,[],Tidak Disebutkan,kontrak/temporer
PT Prawathiya Karsa Pradipta,WEB DEVELOPER,Other,Bekasi,6500000.0,"['css', 'git', 'html', 'javascript', 'laravel', 'mysql', 'php', 'postgresql', 'sql']",Diploma,full time
PT. Mora Telematika Indonesia TBK,Engineering On site,Other,Jakarta Raya(Hibrid),,['networking'],S1,kontrak/temporer
PT Dana Purna Investama,Junior Staff Testing Developer & Technical Writer,Other,Jakarta Pusat,5375000.0,[],Tidak Disebutkan,kontrak/temporer
PT. Elabram Systems,Data Center Officer,Data / AI,Jakarta Raya,27500000.0,[],S1,kontrak/temporer
Gefami Services Indonesia,QA Automation,QA / Tester,Jakarta Raya,,[],Tidak Disebutkan,kontrak/temporer
PT WIHADIL,Lowongan Kerja IT Support Supervisor,Support / Helpdesk / IT Ops,Tangerang District,,[],S1,full time
PT Sapta Tunas Teknologi,Backup Engineer,Other,Jakarta Pusat,,"['linux', 'networking']",S1,full time
PT. 4net Prima Solusi,Solution Architect,Other,Jakarta Raya,8500000.0,"['aws', 'azure', 'oracle']",S1,kontrak/temporer
PT NEWLIFE HEALTHCARE INTERNATIONAL,IT/ERP,ERP / SAP / Odoo / Dynamics,Jakarta Utara,8500000.0,['oracle'],S1,full time
PT Sapta Tunas Teknologi,Technical Support - Server Storage,Network / Infra / SysAdmin,Jakarta Pusat,,"['linux', 'networking']",S1,full time
PT. INTERNET PRATAMA INDONESIA TBK,Network Engineer L2,Network / Infra / SysAdmin,Jakarta Raya,,['tcp/ip'],S1,full time
PT Sejahtera Bersama Indotama,IT STAFF & ADMIN SISTEM,Support / Helpdesk / IT Ops,Bogor,5500000.0,[],Diploma,kontrak/temporer
PT Intech Solusi Sukses,IT Support,Support / Helpdesk / IT Ops,Jakarta Utara,,[],Tidak Disebutkan,full time
PT Trimitra Putra Mandiri,IT Manager,Other,Jakarta Selatan,,"['aws', 'docker', 'git', 'google cloud', 'laravel', 'linux', 'mysql', 'node.js', 'postgresql', 'react']",Tidak Disebutkan,full time
PT Intrias Mandiri Sejati,Hardware Engineer,Other,Jakarta Raya,8500000.0,"['iot', 'linux', 'python', 'tcp/ip']",S1,full time
"PT Adi Sarana Armada, Tbk",IT - Solution Analyst,Business / System Analyst,Jakarta Raya,,[],S1,full time
PT. Satya Langgeng Sentosa,IT Infrastructure Staff,Network / Infra / SysAdmin,Surabaya,,[],S1,full time
PT. Mora Telematika Indonesia TBK,Network Operation Center,Network / Infra / SysAdmin,Jakarta Pusat,,['networking'],Diploma,kontrak/temporer
PT HGT Services Indonesia,Teknisi Komputer (Full-Time/Freelance),Other,Yogyakarta,2650000.0,['networking'],Tidak Disebutkan,full time
CV. Karya Mitra Sarana Makmur,IT SUPPORT,Support / Helpdesk / IT Ops,Surabaya,,[],Tidak Disebutkan,full time
PT Talenta Guna Nusantara,System Analyst,Business / System Analyst,Jakarta Barat,17500000.0,"['jira', 'networking']",Tidak Disebutkan,full time
Ruangguru.com,Admin Operation English Academy - Bekasi - Cibubur,Other,Bekasi,,['excel'],Tidak Disebutkan,kontrak/temporer
PT. Elabram Systems,IT Product Management Staff,Other,Jakarta Raya,6250000.0,"['agile', 'iot', 'scrum']",S1,kontrak/temporer
PT Digital Solution International,Junior Data Analyst,Data / AI,Tangerang Regency,6000000.0,"['excel', 'mysql', 'pandas', 'postgresql', 'power bi', 'python', 'sql', 'tableau']",Tidak Disebutkan,full time
PT Sentra Vidya Utama,System Implementor,Other,Surabaya,,[],Diploma,full time
PT. HAND Solutions Indonesia,L2 Business Analyst,Business / System Analyst,Jakarta Pusat,,"['html', 'java', 'javascript', 'sql']",S1,full time
PT Quantum Tera Network,Lowongan Kerja Technical / IT Support,Support / Helpdesk / IT Ops,Jakarta Raya,,"['.net', 'networking']",Tidak Disebutkan,full time
Cloudisai Technology Services,QA Engineer (Junior to Middle Level),QA / Tester,Yogyakarta,7000000.0,['azure'],S1,full time
Staffinc,Data Analyst,Data / AI,Tangerang,5500000.0,"['excel', 'power bi']",Tidak Disebutkan,full time
WireHire,PMO - Data Center,Data / AI,Jakarta Raya,,['excel'],Tidak Disebutkan,"full time, kontrak/temporer"
PT Eka Mas Republik,NOC Staff,Network / Infra / SysAdmin,Yogyakarta,,['networking'],Tidak Disebutkan,full time
Coforge,QA Data,Data / AI,Jakarta Selatan,6750000.0,['sql'],Tidak Disebutkan,full time
PT JINDI MATERIAL INDONESIA,DATA ANALYST,Data / AI,Jakarta Utara,6950000.0,"['excel', 'power bi', 'python', 'sql', 'tableau']",S1,full time
PT Data Bisnis Solusi,Junior AI Engineer,Data / AI,Jakarta Raya,,"['docker', 'flask', 'linux', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'tensorflow']",S1,full time
PT Eka Mas Republik,Datawarehouse Analyst,Data / AI,Tangerang,,[],S1,full time
PT Vector InfoTechnologies Indonesia,Senior Operation Manager,Other,Jakarta Timur,22500000.0,[],S1,full time
PT Adira Dinamika Multi Finance Tbk,Tellecolection Intern,Other,Jakarta Selatan,,['sql'],S1,full time
PT Astra International Tbk - Daihatsu Sales Operation (Astra Daihatsu),Data Analyst - DSO,Data / AI,Jakarta Raya,,"['excel', 'python', 'tableau']",S1,full time
PT Solusi Mudah Satu Mitra Bersama,IT System Implementor,Other,Sidoarjo,6000000.0,[],Diploma,full time
Shopee Internasional Indonesia,Helpdesk Engineer Intern - IT (Yogyakarta),Support / Helpdesk / IT Ops,Yogyakarta,,[],Tidak Disebutkan,full time
PT Cerdas Digital Nusantara,IT Support,Support / Helpdesk / IT Ops,Tangerang District,,"['cybersecurity', 'networking']",Tidak Disebutkan,full time
PT ABC President Indonesia,IT Support Intern,Support / Helpdesk / IT Ops,Jakarta Selatan,,['networking'],Tidak Disebutkan,kontrak/temporer
PT Aviana Sinar Abadi,DATA ANALYST,Data / AI,Jakarta Selatan,7000000.0,"['python', 'sql', 'tableau']",S1,full time
PT Porto Indonesia Sejahtera,IT Infrastructure  (Staff),Network / Infra / SysAdmin,Karanganyar,,[],Diploma,full time
Neo+ Green Savana Sentul City,IT Officer,Other,Bogor,,[],Tidak Disebutkan,full time
PT Horizon Internusa Persada,IT Helpdesk Staff (Yogyakarta),Support / Helpdesk / IT Ops,Yogyakarta,,[],S1,kontrak/temporer
PT. Elabram Systems,Indonesia Linguist Intern,Frontend Engineer,Jakarta Raya,4250000.0,['android'],S1,full time
"PT Adi Sarana Armada, Tbk",Software Engineer,Other,Jakarta Utara,,['flutter'],Tidak Disebutkan,full time
PT Solusi Layar International,Maritime Operation Monitoring Operator,Other,Surabaya,,['excel'],Tidak Disebutkan,full time
PT SICEPAT EKSPRES INDONESIA,IT Database Administrasion,Data / AI,Jakarta Selatan,,"['aws', 'git', 'kubernetes', 'mongodb', 'postgresql', 'redis', 'sql', 'terraform']",S1,full time
PT Sigma Digital Nusantara,Quality Assurance,QA / Tester,Yogyakarta,,[],Tidak Disebutkan,full time
PT Hikari Indo Sarana,IT Staff,Support / Helpdesk / IT Ops,Jakarta Barat,7250000.0,[],Diploma,kasual
PT. Inovasi Teknologi Nusantara,Network Engineer Staff,Network / Infra / SysAdmin,Tangerang,5250000.0,[],Diploma,kontrak/temporer
PT Ifabula Digital Kreasi,DIGITAL BUSINESS ANALYST,Business / System Analyst,Jakarta Raya(Hibrid),7500000.0,['agile'],S1,full time
PT Adi Media Expertindo,Technical Support,Support / Helpdesk / IT Ops,Surabaya,4850000.0,"['arduino', 'networking']",Tidak Disebutkan,kontrak/temporer
Cartrack Technologies Indonesia,Operational Business Analyst,Business / System Analyst,Jakarta Raya,,['agile'],S1,full time
PT Bhakti Idola Tama,Backend Developer,Backend Engineer,Jakarta Barat,,"['aws', 'docker', 'java', 'kubernetes', 'mongodb', 'redis', 'spring boot', 'sql']",S1,full time
PT. Megaroyal IT Comindo,Project Administrator,Other,Jakarta Raya,5700000.0,['excel'],Diploma,kontrak/temporer
PT Bumi Berkah Boga,IT Network & Infrastructure,Network / Infra / SysAdmin,Jakarta Raya,,"['linux', 'tcp/ip']",S1,full time
Integrity,IT System Administrator,Network / Infra / SysAdmin,Jakarta Raya,,['linux'],Diploma,full time
Cermati Fintech Group,Fraud Junior Analyst - Risk Platform,Business / System Analyst,Jakarta Raya,,['sql'],S1,full time
PT Leading Garment Industries,Programmer Junior Staff,Other,Kabupaten Bandung,,"['css', 'html', 'java', 'mysql', 'php']",Diploma,full time
"PT. Solusi Sinergi Digital, Tbk (Surge)",Access Network/NOC [Supervisor Level],Network / Infra / SysAdmin,Jakarta Raya,,[],Diploma,full time
Anteraja,Corporate Assistance Officer,Other,Jakarta Raya,,[],Tidak Disebutkan,full time
ParagonCorp,IT Business Partner,Other,Jakarta Raya,,[],S1,full time
PT ABISHAR TECHNOLOGIES INDONESIA,IT MIS (Data Warehouse),Data / AI,Jakarta Selatan,6750000.0,"['azure', 'hadoop', 'power bi', 'python', 'sql', 'tableau']",S1,kontrak/temporer
"PT. Nusa Palapa Gemilang, Tbk",Internship IT,Other,Surabaya,,['sql'],Diploma,kontrak/temporer
A&W Restaurants Indonesia,IT Admin,Other,Jakarta Utara,,['sql'],S1,full time
PT Yontomo Sukses Abadi,STAFF ADMIN IT (TANGERANG),Other,Tangerang,,"['.net', 'c', 'c#', 'excel', 'php']",Diploma,full time
Cermati Fintech Group,Integration Support Officer,Support / Helpdesk / IT Ops,Jakarta Raya,,['sql'],S1,kontrak/temporer
PT. Global Media Devid,Back End Developer,Backend Engineer,Jakarta Selatan,11500000.0,"['aws', 'git', 'javascript', 'php', 'postgresql']",S1,full time
Askarasoft,PHP Developer,Other,Jakarta Barat,,"['flutter', 'javascript', 'mysql', 'php']",S1,full time
JMC IT Consultant,System Analyst Middle,Business / System Analyst,Yogyakarta,4000000.0,"['agile', 'jira', 'scrum']",Tidak Disebutkan,full time
PT Adira Dinamika Multi Finance Tbk,IT HelpDesk Intern,Support / Helpdesk / IT Ops,Jakarta Selatan,,"['oracle', 'postgresql', 'sql']",Tidak Disebutkan,full time
PT Kazee Digital Indonesia,Lead Data Science,Data / AI,Bandung,6000000.0,"['docker', 'machine learning', 'nlp', 'pandas', 'python', 'pytorch', 'sql', 'tableau', 'tensorflow']",Tidak Disebutkan,full time
PT Graha Karya Informasi,Laravel Developer,Backend Engineer,Tangerang,8750000.0,"['laravel', 'php', 'sql']",S1,full time
Grand Persada Puri,IT Support,Support / Helpdesk / IT Ops,Bantul,,[],Tidak Disebutkan,full time
PT Global Alih Daya (Agent&Co),IT Support,Support / Helpdesk / IT Ops,Yogyakarta,,"['linux', 'tcp/ip']",Diploma,full time
GRAND COLORLINK,ADMIN CCTV,Other,Bantul,,[],Diploma,full time
Anteraja,Customer Experience Supervisor,Other,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Gagah Putera Satria,Staff IT,Other,Jakarta Barat,,[],Tidak Disebutkan,full time
PT Prawathiya Karsa Pradipta,IT Support (Bandung),Support / Helpdesk / IT Ops,Bandung,,['networking'],Tidak Disebutkan,full time
PT Platinumetrix Global Inovasi,L1 monitoring,Other,Jakarta Raya,5750000.0,[],Tidak Disebutkan,full time
Anteraja,IT Field Support Officer,Support / Helpdesk / IT Ops,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Lentera Bangsa Benderang,IT Support Engineer,Support / Helpdesk / IT Ops,Jakarta Selatan,12500000.0,[],S1,kontrak/temporer
PT Mayora Indah Tbk,Application Support (Data Analyst and QA),Data / AI,Jakarta Raya,,[],S1,full time
