Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean,provinsi
PT Eka Mas Republik,NOC Fault Management Engineer,Network / Infra / SysAdmin,South Tangerang,,[],S1,full time,Banten
PT Artha Infotama (Jakarta),ERP Application Consultant,ERP / SAP / Odoo / Dynamics,Jakarta Pusat,,['sql'],Diploma,full time,DKI Jakarta
EY,Finance Associate - Payroll Expense Operate Services,Security / Cybersecurity,Jakarta Raya,,['excel'],S1,full time,DKI Jakarta
PT Sentra Vidya Utama,Quality Assurance Engineer,QA / Tester,Surabaya,7750000,"['java', 'javascript', 'jenkins', 'python', 'typescript']",Tidak Disebutkan,full time,Jawa Timur
Kurniawan Group,IT Help Desk,Other,Jakarta Raya,6000000,[],Diploma,kontrak/temporer,DKI Jakarta
PT Sinergy Informasi Pratama,IT Product Specialist,Other,Jakarta Raya,,['cybersecurity'],S1,kontrak/temporer,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Data Analyst - Manufacture Industry,Data / AI,Jakarta Raya,,"['agile', 'aws', 'big data', 'mysql', 'sql', 'tableau']",S1,kontrak/temporer,DKI Jakarta
PT RAJA SUKSES PROPERTINDO,IT Programmer,Other,Cirebon,,"['c', 'c++', 'java', 'python']",S1,full time,Jawa Barat
PT Penguin Indonesia,Data Analyst,Data / AI,Jakarta Utara,,"['excel', 'power bi', 'sql', 'tableau']",S1,full time,DKI Jakarta
PT. Elabram Systems,Quality Assurance Tester,QA / Tester,Jakarta Raya(Hibrid),,"['agile', 'scrum']",S1,kontrak/temporer,DKI Jakarta
PT Tonggak Teknologi Netikom,Teknisi Jaringan,Other,Sleman,2750000,[],Tidak Disebutkan,full time,DI Yogyakarta
PT Sinergi Daya Mitra,Incident Manager,Other,Jakarta Raya,,['jira'],S1,kontrak/temporer,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Junior QA Automation - Insurance Industry,QA / Tester,Jakarta Raya,,"['.net', 'c', 'c#']",S1,kontrak/temporer,DKI Jakarta
PT Bina Karya Prima,Oracle EBS Functional Support,ERP / SAP / Odoo / Dynamics,Jakarta Utara,,"['java', 'oracle', 'php', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
PT Intrias Mandiri Sejati,IT BUSINESS ANALYST,Business / System Analyst,Jakarta Selatan,14000000,[],S1,kontrak/temporer,DKI Jakarta
PT Batik Sukses Sejahtera,Freelance IoT LIDAR,Other,Cirebon,,"['arduino', 'c', 'c++', 'iot', 'python']",Tidak Disebutkan,full time,Jawa Barat
PT Molca Teknologi Nusantara,QA & QC Engineer,QA / Tester,Surabaya,,"['git', 'ui/ux']",Tidak Disebutkan,kontrak/temporer,Jawa Timur
Staffinc,Project Lead,Other,Jakarta Selatan,6500000,"['c', 'excel']",Diploma,full time,DKI Jakarta
Morning Glory Enterprise (Surabaya),Sistem Analis IT,Other,Surabaya,,[],Diploma,full time,Jawa Timur
PT Inovasi Informatika Indonesia,Quality Assurance,QA / Tester,Jakarta Selatan,7500000,"['agile', 'git', 'java', 'javascript', 'jenkins', 'python', 'scrum', 'sql']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
Staffinc,Data and Software Engineer,Data / AI,Jakarta Pusat,14950000,['php'],S1,full time,DKI Jakarta
PT Merdeka Copper Gold Tbk,ERP & Digitalization Manager,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,['iot'],S1,full time,DKI Jakarta
True Chef and Baker,System Analyst and Implementation Intern,Business / System Analyst,Jakarta Selatan,2200000,[],S1,full time,DKI Jakarta
PT. Skyshi Digital Indonesia,Software Quality Assurance (Manual),QA / Tester,Yogyakarta,7750000,['sql'],Tidak Disebutkan,kontrak/temporer,DI Yogyakarta
PT Hashmicro Solusi Indonesia,Accounting Consultant,Sales / Presales / Solution,Jakarta Raya,,"['go', 'networking']",S1,full time,DKI Jakarta
PT Mitra Solusi Telematika,Quality Assurance Analyst (Project Based),QA / Tester,DI Yogyakarta,,"['agile', 'android', 'excel', 'ios']",Tidak Disebutkan,kontrak/temporer,DI Yogyakarta
PT Lentera Bangsa Benderang,Product Owner,Product / Project / Scrum,Jakarta Selatan,11000000,"['agile', 'jira', 'scrum']",S1,kontrak/temporer,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Application Support (Java) - Banking Industry,Backend Engineer,Jakarta Raya,,['mysql'],S1,kontrak/temporer,DKI Jakarta
Nauli Data,Security Engineer (Ready-to-Join ASAP),Security / Cybersecurity,Jakarta Selatan,,"['linux', 'networking', 'tcp/ip']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT IDStar Cipta Teknologi,IT Project Manager,Product / Project / Scrum,Jakarta Raya,,"['cybersecurity', 'git', 'java', 'python']",S1,full time,DKI Jakarta
PT. Elabram Systems,Data Center Engineer Officer,Data / AI,Jakarta Raya,31250000,['react'],S1,kontrak/temporer,DKI Jakarta
PT Nexora Digital,Developer,Other,Jakarta Raya(Hibrid),8500000,"['c', 'c++']",Tidak Disebutkan,full time,DKI Jakarta
PT INTAN PARIWARA,Senior Full Stack Engineer,Fullstack Engineer,Yogyakarta,6500000,"['django', 'flutter', 'java', 'javascript', 'kotlin', 'node.js', 'python', 'swift', 'typescript']",S1,full time,DI Yogyakarta
Faxtor Indonesia,Technology Development,Other,Bandung,,['ui/ux'],S1,full time,Jawa Barat
PT Intrias Mandiri Sejati,Developer & Tester,QA / Tester,Jakarta Selatan,5700000,[],S1,kontrak/temporer,DKI Jakarta
KOPERASI JASA PT INFRASTRUKTUR TELEKOMUNIKASI INDONESIA,Core Solution Architect,Other,Jakarta Selatan,,"['aws', 'azure', 'kubernetes', 'networking']",S1,kontrak/temporer,DKI Jakarta
PT Graha Karya Informasi,AWS ENGINEER (CERTIFIED),DevOps / Cloud / SRE,Jakarta Selatan,9000000,"['aws', 'terraform']",Tidak Disebutkan,full time,DKI Jakarta
PT Solusi Prima Packaging,Backend Engineer,Backend Engineer,South Tangerang,,"['.net', 'git', 'google cloud', 'mysql', 'redis', 'sql']",Tidak Disebutkan,full time,Banten
EY,CBS - Internal Audit (System & Procedure) Associate,Security / Cybersecurity,Jakarta Raya,,[],S1,full time,DKI Jakarta
PT Accord Innovations Indonesia,IT Security Engineer,Security / Cybersecurity,Cilegon,11500000,[],Tidak Disebutkan,kontrak/temporer,Banten
WireHire,Korean Interpreter - Banking IT Project,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,[],Tidak Disebutkan,full time,DKI Jakarta
PT. Cakra Tekno Nusantara,AI Engineer - Generative AI Focus,Data / AI,Tangerang,7750000,"['machine learning', 'python']",S1,full time,Banten
Pengiklan Anonim,Business Analyst IT,Business / System Analyst,Jakarta Timur,7750000,[],S1,kontrak/temporer,DKI Jakarta
PT Vertika Technologies Nusantara,Software Engineer Backend,Backend Engineer,Jakarta Raya(Hibrid),,['python'],Tidak Disebutkan,full time,DKI Jakarta
VIVERE GROUP,Full-Stack Developer Intern,Other,Tangerang,,"['git', 'python', 'sql']",S1,kasual,Banten
PT Adira Dinamika Multi Finance Tbk,Business Intelligence Intern,Data / AI,Jakarta Selatan,,"['machine learning', 'power bi', 'sql', 'tableau']",Tidak Disebutkan,full time,DKI Jakarta
PT INTAN PARIWARA,Junior Full Stack Engineer,Fullstack Engineer,Yogyakarta,2550000,"['angular', 'css', 'django', 'flask', 'html', 'javascript', 'laravel', 'node.js', 'php', 'python', 'react', 'sql', 'vue']",Tidak Disebutkan,full time,DI Yogyakarta
PT Eka Mas Republik,EATP Control Engineer,Other,Jakarta Raya,,[],Diploma,full time,DKI Jakarta
Pengiklan Anonim,IT Supervisor – Hardware,Other,Jakarta Selatan,,['linux'],Diploma,full time,DKI Jakarta
PT Tim Teknologi Global,System Analyst,Business / System Analyst,Surabaya,4250000,"['agile', 'jira', 'ui/ux']",Tidak Disebutkan,full time,Jawa Timur
PT Batik Sukses Sejahtera,IT Programmer,Other,Cirebon,,"['c', 'c++', 'java', 'python']",S1,full time,Jawa Barat
PT Mid Solusi Nusantara (MEKARI),Customer Platform Specialist,Other,Jakarta Raya(Hibrid),,"['sql', 'tableau']",S1,full time,DKI Jakarta
PT Kuaikuai Tech Indonesia,IT Fullstack Engineer,Fullstack Engineer,Jakarta Barat,,"['agile', 'android', 'c', 'css', 'go', 'html', 'ios', 'java', 'javascript', 'linux', 'machine learning', 'mysql', 'node.js', 'php', 'postgresql', 'react', 'react native', 'vue']",S1,full time,DKI Jakarta
PT Sapta Tunas Teknologi,Technical Writer,Other,Jakarta Pusat,,[],S1,full time,DKI Jakarta
PT Eka Mas Republik,Project Asset Management Coordinator,Other,South Tangerang,,['excel'],S1,full time,Banten
PT Eka Mas Republik,Radio Network Design Engineer,Network / Infra / SysAdmin,South Tangerang,,[],S1,full time,Banten
PT Selaras Kinerja Muda,System Engineer / Middleware Engineer,Other,Jakarta Raya,9750000,"['linux', 'sql']",S1,kontrak/temporer,DKI Jakarta
PT Nawa Data Solutions,IT Quality Assurance,QA / Tester,Jakarta Pusat,8000000,['sql'],S1,kontrak/temporer,DKI Jakarta
"PT. Central Proteina Prima, Tbk",Odoo Analyst and AI Engineer,Data / AI,Jakarta Raya,,['machine learning'],Tidak Disebutkan,full time,DKI Jakarta
PT Accord Innovations Indonesia,ServiceNow Project Lead,Other,Jakarta Raya,25000000,['scrum'],Tidak Disebutkan,full time,DKI Jakarta
Pengiklan Anonim,Quality Assurance,QA / Tester,Jakarta Raya(Hibrid),,"['java', 'javascript', 'jira', 'python', 'sql', 'ui/ux']",Tidak Disebutkan,full time,DKI Jakarta
PT Lentera Bangsa Benderang,IT Vendor Management,Other,Jakarta Selatan,17000000,[],S1,kontrak/temporer,DKI Jakarta
PT. Ehan Solusi Teknik,IT Software Developer,Other,Tangerang,,"['.net', 'agile', 'c', 'c#', 'javascript', 'sql']",Tidak Disebutkan,full time,Banten
PT Fliptech Lentera Inspirasi Pertiwi,Software Engineer (Backend),Backend Engineer,Jakarta Raya,,"['go', 'php', 'postgresql']",Tidak Disebutkan,full time,DKI Jakarta
RecXchange,Remote Recruiter Freelance,Frontend Engineer,Bandung,,[],Tidak Disebutkan,full time,Jawa Barat
Jonas Photo,Internship Software Development,Other,Bandung,,"['laravel', 'machine learning', 'networking', 'python']",S1,paruh waktu,Jawa Barat
SEVEN Retail Group,Data Analyst (Medior),Data / AI,Jakarta Selatan,11500000,['sql'],Tidak Disebutkan,full time,DKI Jakarta
PT LIMA SRIKANDI JAYA,Web Programmer,Other,Jakarta Raya,,"['flutter', 'laravel', 'php', 'postgresql']",Tidak Disebutkan,full time,DKI Jakarta
Soedarpo Informatika,System Analyst,Business / System Analyst,Jakarta Barat,8999999,"['.net', 'agile', 'java', 'oracle', 'scrum', 'sql']",S1,kontrak/temporer,DKI Jakarta
PT. Elabram Systems,NOC BO MPLS Engineer,Network / Infra / SysAdmin,Jakarta Raya,18500000,[],S1,full time,DKI Jakarta
PT Solusi Cepat Alva Abadi,Electronic & Network Technician,Network / Infra / SysAdmin,Jakarta Barat,,['tcp/ip'],Tidak Disebutkan,full time,DKI Jakarta
PT. HITACHI SAKTI ENERGY INDONESIA,MO - Intern,Other,Jakarta Raya(Hibrid),,[],S1,full time,DKI Jakarta
PT. MITRA CAKRAWALA INTERNATIONAL,Odoo Functional,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,"['excel', 'sql']",S1,full time,DKI Jakarta
PT. DAKARA TEKNOLOGI INDONESIA,Remote IT Infrastructure Engineer,Network / Infra / SysAdmin,Tangerang,10000000,"['java', 'linux', 'python']",S1,full time,Banten
PT. Jaringan VNT Indonesia (VNT Networks),Lowongan Kerja Backend Developer,Backend Engineer,Yogyakarta,,"['aws', 'azure', 'docker', 'linux', 'redis', 'sql']",Tidak Disebutkan,full time,DI Yogyakarta
PT Sea Group,AI Ignite Internship Programme (AIIP),Data / AI,Jakarta Raya,,[],Tidak Disebutkan,full time,DKI Jakarta
PT Adikarya Media,Junior Web Developer (FrontEnd),Frontend Engineer,Surabaya,,"['css', 'html', 'javascript', 'react', 'ui/ux', 'vue']",Tidak Disebutkan,kontrak/temporer,Jawa Timur
PT Data Labs Analytics,L1 Cloud Support Engineer,DevOps / Cloud / SRE,Jakarta Pusat,,"['aws', 'azure', 'linux', 'networking']",Tidak Disebutkan,full time,DKI Jakarta
