Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean,provinsi
PT Insura Media Solusi (Jakarta),"Data Engineer (Analyst, ETL, DBA)",Data / AI,Jakarta Raya,8350000,"['machine learning', 'oracle', 'power bi', 'python', 'sql', 'tableau']",Tidak Disebutkan,full time,DKI Jakarta
PT Platinumetrix Global Inovasi,IT Governance Risk Compliance (IT GRC),Security / Cybersecurity,Jakarta Pusat,,[],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Akhdani Reka Solusi,Technical Writer,Other,Bandung,,"['c', 'c#', 'css', 'go', 'html', 'java', 'javascript', 'php', 'python', 'sql', 'typescript']",S1,full time,Jawa Barat
PT 360 TEKNOLOGI INDONESIA,SAP FICO,ERP / SAP / Odoo / Dynamics,Jakarta Raya(Hibrid),,[],S1,full time,DKI Jakarta
PT Intrias Mandiri Sejati,IT Cyber Security,Security / Cybersecurity,Jakarta Raya,9500000,[],S1,kontrak/temporer,DKI Jakarta
PT Ivonesia Solusi Data,Full-Stack Engineer,Other,Jakarta Raya,,"['docker', 'git', 'golang', 'kubernetes', 'vue']",Tidak Disebutkan,full time,DKI Jakarta
Asaba Group,Presales Consulant,Sales / Presales / Solution,Jakarta Pusat,7250000,"['excel', 'sql']",S1,full time,DKI Jakarta
PT JAVAN CIPTA SOLUSI,Tribe Lead / Project Manager,Product / Project / Scrum,Sleman,8500000,"['agile', 'jira', 'scrum']",Tidak Disebutkan,kontrak/temporer,DI Yogyakarta
Pengiklan Anonim,Data Engineer,Data / AI,Jakarta Timur,10500000,"['java', 'mongodb', 'mysql', 'postgresql', 'python', 'sql']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Baria Bulk Terminal,Odoo Developer Staff,ERP / SAP / Odoo / Dynamics,Jakarta Utara,8750000,"['docker', 'git', 'linux', 'postgresql', 'python']",Tidak Disebutkan,full time,DKI Jakarta
One Third Consulting Abroad,Odoo Implementer,ERP / SAP / Odoo / Dynamics,Jakarta Timur,,"['go', 'python']",Tidak Disebutkan,full time,DKI Jakarta
PT Nityo Infotech,Data Architect - Telco,Data / AI,Jakarta Pusat,22500000,[],Tidak Disebutkan,full time,DKI Jakarta
TLab,Backend Engineer,Backend Engineer,Yogyakarta,,"['docker', 'golang', 'linux', 'redis']",Tidak Disebutkan,full time,DI Yogyakarta
ParagonCorp,Full Stack Engineer,Fullstack Engineer,Jakarta Raya,,"['aws', 'css', 'docker', 'git', 'html', 'javascript', 'laravel', 'mysql', 'php', 'postgresql']",S1,kontrak/temporer,DKI Jakarta
PT Metrocom Global Solusi,Programmer,Other,Jakarta Raya,,[],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
Morning Glory Enterprise,Lowongan Kerja Sistem Analis IT,Other,Surabaya,,[],Diploma,full time,Jawa Timur
Morrus Digital Connecting,Junior Full-Stack Web Developer (Laravel),Backend Engineer,Surabaya,,"['css', 'git', 'html', 'javascript', 'laravel', 'php', 'react', 'vue']",Tidak Disebutkan,full time,Jawa Timur
Nauli Data,Infrastructure Engineer (Ready-to-Join ASAP),Network / Infra / SysAdmin,Jakarta Selatan,,"['linux', 'networking']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Eka Mas Republik,Site Permit Coordinator,Other,Tangerang,,['excel'],Diploma,full time,Banten
PT 360 TEKNOLOGI INDONESIA,SAP SD,ERP / SAP / Odoo / Dynamics,Jakarta Raya(Hibrid),,[],S1,full time,DKI Jakarta
PT. Caleb Technology,ACS dan FIDS Engineer,Other,Jakarta Utara,8000000,[],S1,kontrak/temporer,DKI Jakarta
PT KSIP SOLUSI MANDIRI,Programmer Odoo Dev/Odoo Specialist,ERP / SAP / Odoo / Dynamics,South Tangerang,,[],S1,full time,Banten
RecXchange,Remote Recruiter Freelance,Frontend Engineer,Surabaya,,[],Tidak Disebutkan,full time,Jawa Timur
PT Esta Dana Ventura (Jakarta),IT System Analyst,Business / System Analyst,Tangerang,,['sql'],S1,full time,Banten
ASSA Rent (Jakarta),DMS - IT Developer,Other,Jakarta Utara,,"['javascript', 'jira', 'laravel', 'mysql', 'php', 'python']",S1,full time,DKI Jakarta
Shieldtag,Junior Project Manager (Operations & Purchasing),Product / Project / Scrum,Jakarta Raya,9000000,['jira'],Diploma,full time,DKI Jakarta
PT Intrias Mandiri Sejati,Information Security Analyst,Security / Cybersecurity,Jakarta Selatan,9500000,[],S1,kontrak/temporer,DKI Jakarta
English 1 Eduka Group,Business Analyst Associate,Security / Cybersecurity,Surabaya,4750000,"['excel', 'sql']",Diploma,full time,Jawa Timur
PT Cemerlang Multimedia,Assisten System Manager,Other,Bogor,10000000,['c'],S1,full time,Jawa Barat
PT Mid Solusi Nusantara (MEKARI),QA Intern (Next Level Internship),QA / Tester,Jakarta Raya,,"['agile', 'java', 'javascript', 'python', 'ruby', 'typescript']",S1,kontrak/temporer,DKI Jakarta
PT PADAMA BAHTERA LABELINDO,IT programmer,Other,Bekasi,6500000,"['css', 'docker', 'git', 'html', 'javascript', 'sql']",S1,full time,Jawa Barat
PT Integra Solusi Mandiri,Enterprise Business Solution Support Manager​,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,"['agile', 'scrum']",S1,full time,DKI Jakarta
Tripledot Studios,Junior Product Manager,Product / Project / Scrum,Jakarta Raya,,"['excel', 'sql', 'tableau']",Tidak Disebutkan,full time,DKI Jakarta
PT Intrias Mandiri Sejati,Email & Front-End Developer,Other,Jakarta Selatan,5864938,"['css', 'html']",Diploma,kontrak/temporer,DKI Jakarta
SOLS SuriaX,Junior Web Application Developer,Other,Jakarta Pusat,9000000,"['agile', 'css', 'git', 'google cloud', 'html', 'javascript', 'mysql', 'node.js', 'postgresql', 'react', 'typescript']",Diploma,full time,DKI Jakarta
"Asiacruit BPO, Inc",Business Analyst,Business / System Analyst,Jakarta Barat,,['excel'],S1,full time,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Quality Engineer (Insurance Industry),Other,Jakarta Raya,,[],S1,kontrak/temporer,DKI Jakarta
PT. Elabram Systems,Quality Assurance Architect,QA / Tester,Jakarta Raya,,"['agile', 'scrum']",S1,kontrak/temporer,DKI Jakarta
PT Lentera Bangsa Benderang,Fullstack Engineer,Fullstack Engineer,Jakarta Selatan,18500000,"['go', 'golang', 'java', 'javascript', 'networking', 'python', 'react', 'typescript']",S1,kontrak/temporer,DKI Jakarta
PT. EMTRADE TEKNOLOGI FINANSIAL,Quality Assurance Engineer,QA / Tester,Surakarta,3500000,['jira'],S1,full time,Jawa Tengah
Sagara Asia Teknologi,IT Developer,Other,Jakarta Pusat,,"['angular', 'scrum', 'ui/ux']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Aviana Sinar Abadi,BACKEND DEVELOPER,Backend Engineer,Jakarta Selatan,9000000,"['agile', 'django', 'laravel', 'mongodb', 'mysql', 'node.js', 'php', 'postgresql', 'python', 'redis']",S1,full time,DKI Jakarta
Material Logistics Handling Pty Ltd,Sales Data Analyst,Data / AI,Jakarta Raya(Jarak jauh),8000000,"['google cloud', 'sql']",S1,full time,DKI Jakarta
PT Limin Marine & Offshore,Junior IT Programmer / Full stack Developer,Fullstack Engineer,Jakarta Barat,,"['agile', 'aws', 'azure', 'docker', 'git', 'java', 'javascript', 'kubernetes', 'mongodb', 'mysql', 'node.js', 'postgresql', 'react', 'scrum', 'ui/ux', 'vue']",S1,full time,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),System Analyst - Manufacture Industry,Business / System Analyst,Jakarta Raya,,"['agile', 'mysql', 'php', 'python', 'react', 'sql']",S1,kontrak/temporer,DKI Jakarta
PT.Inkatama Duta Investindo,System & Procedure Development,Other,Surabaya,,['excel'],S1,full time,Jawa Timur
CV Joyin,IT Developer,Other,Jakarta Raya(Jarak jauh),9500000,['javascript'],Tidak Disebutkan,full time,DKI Jakarta
Pengiklan Anonim,Data Analyst BI,Data / AI,Jakarta Selatan,7900000,"['azure', 'excel', 'mysql', 'power bi', 'python', 'sql', 'tableau']",S1,kontrak/temporer,DKI Jakarta
PT Eka Mas Republik,CX System & Analytics Manager,Data / AI,Jakarta Raya,,"['sql', 'tableau']",Tidak Disebutkan,full time,DKI Jakarta
KOPERASI JASA PT INFRASTRUKTUR TELEKOMUNIKASI INDONESIA,Radio Network Planner (RNP),Network / Infra / SysAdmin,Semarang,,[],Tidak Disebutkan,kontrak/temporer,Jawa Tengah
SLC RECRUITMENT,Website Developer Intern,Other,Surabaya,,"['css', 'html', 'javascript', 'laravel', 'php', 'react', 'ui/ux']",Tidak Disebutkan,kontrak/temporer,Jawa Timur
PT. Elabram Systems,Project Engineer,Other,Jakarta Raya,12500000,['excel'],S1,full time,DKI Jakarta
Pengiklan Anonim,QA Manual,QA / Tester,Tangerang,,['jira'],Tidak Disebutkan,kontrak/temporer,Banten
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),IT Business Process Analyst (BPA),Business / System Analyst,Jakarta Utara,11315000,[],S1,kontrak/temporer,DKI Jakarta
SPUN,Frontend Engineer,Frontend Engineer,Jakarta Raya,,"['aws', 'figma', 'git', 'javascript', 'react', 'typescript']",Tidak Disebutkan,full time,DKI Jakarta
PT Fliptech Lentera Inspirasi Pertiwi,Software Engineer (Backend) Intern - Help Center-Ops Platform,Backend Engineer,Jakarta Raya,,"['go', 'postgresql']",Tidak Disebutkan,full time,DKI Jakarta
Kompas Gramedia - KG Media,Service Desk & Support Manager Corporate IT&IS,Support / Helpdesk / IT Ops,Jakarta Raya,,"['aws', 'azure', 'networking', 'tcp/ip']",S1,kontrak/temporer,DKI Jakarta
PT. LOTTE INNOVATE INDONESIA,SAP Material Management,ERP / SAP / Odoo / Dynamics,Cilegon,,"['agile', 'scrum']",S1,full time,Banten
KOPERASI JASA PT INFRASTRUKTUR TELEKOMUNIKASI INDONESIA,Radio Network Planner (RNP),Network / Infra / SysAdmin,Bandung,,[],Tidak Disebutkan,kontrak/temporer,Jawa Barat
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),IT Project Manager (Jakarta WFO) - Manufacturing Industry,Product / Project / Scrum,Jakarta Timur,9750000,"['agile', 'jira', 'scrum']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
Innovine Studio Indonesia,Digital Product Manager,Product / Project / Scrum,Jakarta Selatan,,['figma'],Tidak Disebutkan,full time,DKI Jakarta
